# temperatuur abs_magnitude klasse afstand
2405.0 10.75 V 707.3
2487.0 -1.23 III 1713.9
2506.0 -0.82 III 1143.7
2589.0 9.27 V 174.2
2673.0 8.88 V 458.0
2850.0 7.02 V 1866.0
2867.0 -0.9 III 147.1
2882.0 8.6 V 510.8
2896.0 7.51 V 1959.5
2923.0 8.89 V 1505.6
2951.0 -5.09 I 240.3
2955.0 8.03 V 1318.0
2996.0 10.91 V 1835.9
3005.0 -0.72 III 1601.7
3044.0 8.14 V 918.1
3051.0 -0.16 III 1461.2
3065.0 8.53 V 443.6
3111.0 8.09 V 1326.7
3183.0 0.23 III 679.3
3218.0 -4.86 I 1989.3
3218.0 -4.95 I 879.6
3241.0 -0.02 III 434.1
3284.0 -0.21 III 262.3
3296.0 -0.3 III 1579.3
3304.0 6.49 V 460.7
3318.0 9.11 V 498.4
3320.0 -5.08 I 1172.2
3332.0 -1.39 III 1366.8
3359.0 7.11 V 1142.5
3365.0 -4.8 I 997.2
3409.0 -0.57 III 1335.4
3424.0 -1.24 III 1993.0
3442.0 -5.4 I 1249.0
3461.0 5.64 V 1154.6
3543.0 -6.32 I 1218.4
3576.0 8.07 V 1154.3
3586.0 8.45 V 123.1
3591.0 7.11 V 977.3
3634.0 0.57 III 362.1
3651.0 -6.41 I 449.0
3670.0 8.95 V 846.5
3714.0 7.59 V 1657.3
3789.0 -5.21 I 254.0
3800.0 8.94 V 527.2
3838.0 -5.87 I 1832.7
3864.0 -0.41 III 125.7
3883.0 6.2 V 1691.0
3887.0 -1.14 III 1354.7
3894.0 -0.14 III 1215.6
3932.0 -5.79 I 1929.8
3952.0 5.86 V 201.2
3959.0 -4.87 I 1133.0
3960.0 7.67 V 235.5
3989.0 0.86 III 1052.0
4027.0 5.98 V 1226.4
4054.0 -5.72 I 450.2
4054.0 6.05 V 1483.3
4061.0 1.14 III 1774.8
4072.0 0.81 III 869.4
4094.0 6.8 V 61.6
4141.0 -5.29 I 1066.5
4146.0 -6.24 I 1942.6
4150.0 1.42 III 1085.5
4162.0 -5.47 I 1628.0
4172.0 -6.1 I 1386.4
