UTC,Callsign,Latitude,Longitude,Altitude,Speed,Direction
2024-11-01T10:30:35,QFA25,-33.938663,151.169449,0,0,253
2024-11-01T10:31:01,QFA25,-33.938622,151.169662,0,2,247
2024-11-01T10:31:17,QFA25,-33.938553,151.169876,0,2,241
2024-11-01T10:31:37,QFA25,-33.938385,151.17009,0,3,264
2024-11-01T10:31:55,QFA25,-33.938282,151.170303,0,3,295
2024-11-01T10:32:12,QFA25,-33.938282,151.170547,0,3,326
2024-11-01T10:37:18,QFA25,-33.938038,151.170578,0,3,348
2024-11-01T10:37:30,QFA25,-33.937809,151.170517,0,5,348
2024-11-01T10:37:39,QFA25,-33.937584,151.170456,0,5,348
2024-11-01T10:37:49,QFA25,-33.937336,151.170486,0,6,2
2024-11-01T10:37:58,QFA25,-33.937164,151.170731,0,6,36
2024-11-01T10:38:06,QFA25,-33.937099,151.170944,0,6,56
2024-11-01T10:38:14,QFA25,-33.936996,151.171234,0,8,61
2024-11-01T10:38:20,QFA25,-33.93679,151.171402,0,10,42
2024-11-01T10:38:25,QFA25,-33.936562,151.171432,0,10,16
2024-11-01T10:38:30,QFA25,-33.936337,151.171371,0,11,5
2024-11-01T10:38:35,QFA25,-33.936092,151.171295,0,11,348
2024-11-01T10:38:39,QFA25,-33.935863,151.171234,0,12,348
2024-11-01T10:38:44,QFA25,-33.935589,151.171158,0,13,348
2024-11-01T10:38:49,QFA25,-33.935314,151.171097,0,13,348
2024-11-01T10:38:53,QFA25,-33.935062,151.171036,0,13,348
2024-11-01T10:38:58,QFA25,-33.934799,151.170959,0,12,345
2024-11-01T10:39:07,QFA25,-33.934307,151.170822,0,12,348
2024-11-01T10:39:16,QFA25,-33.933834,151.1707,0,13,348
2024-11-01T10:39:23,QFA25,-33.933498,151.170609,0,11,343
2024-11-01T10:39:27,QFA25,-33.933289,151.170471,0,10,334
2024-11-01T10:39:32,QFA25,-33.933067,151.170258,0,10,326
2024-11-01T10:39:39,QFA25,-33.932869,151.169983,0,10,315
2024-11-01T10:39:44,QFA25,-33.932705,151.169739,0,10,309
2024-11-01T10:39:50,QFA25,-33.932449,151.16954,0,12,326
2024-11-01T10:39:55,QFA25,-33.932182,151.169495,0,13,343
2024-11-01T10:40:00,QFA25,-33.931881,151.169449,0,14,348
2024-11-01T10:40:03,QFA25,-33.93166,151.169388,0,13,348
2024-11-01T10:40:09,QFA25,-33.931355,151.169296,0,13,348
2024-11-01T10:40:14,QFA25,-33.931065,151.169235,0,12,345
2024-11-01T10:40:17,QFA25,,151.169174,0,11,348
2024-11-01T10:40:28,QFA25,-33.930412,151.169067,0,10,348
2024-11-01T10:40:34,QFA25,,151.169098,0,0,2
2024-11-01T10:40:41,QFA25,,151.169418,0,12,42
2024-11-01T10:40:45,QFA25,-33.929798,151.169662,0,12,59
2024-11-01T10:40:50,QFA25,-33.929741,151.169952,0,12,70
2024-11-01T10:40:54,QFA25,-33.92968,151.170303,0,13,75
2024-11-01T10:41:00,QFA25,-33.929611,151.1707,0,13,78
2024-11-01T10:41:04,QFA25,-33.929581,151.170944,0,13,81
2024-11-01T10:41:07,QFA25,-33.929592,151.171158,0,14,87
2024-11-01T10:41:09,QFA25,-33.929649,151.171371,0,14,101
2024-11-01T10:41:14,QFA25,-33.929867,151.171646,0,14,129
2024-11-01T10:41:18,QFA25,-33.930141,151.171768,0,14,151
2024-11-01T10:41:26,QFA25,-33.930668,151.171906,0,0,165
2024-11-01T10:41:30,QFA25,-33.931473,151.172119,0,43,165
2024-11-01T10:41:31,QFA25,-33.931835,151.172226,0,51,168
2024-11-01T10:41:34,QFA25,-33.93251,151.172394,0,64,168
2024-11-01T10:41:35,QFA25,-33.932819,151.17247,0,68,168
2024-11-01T10:41:36,QFA25,-33.933147,151.172562,0,72,165
2024-11-01T10:41:39,QFA25,-33.934044,151.172791,0,80,168
2024-11-01T10:41:40,QFA25,-33.934418,151.172897,0,84,168
2024-11-01T10:41:43,QFA25,-33.935898,151.173279,0,96,167
2024-11-01T10:41:49,QFA25,-33.938736,151.174011,0,117,167
2024-11-01T10:41:58,QFA25,-33.94455,151.175522,0,145,167
2024-11-01T10:42:08,QFA25,-33.951805,151.177307,0,171,168
2024-11-01T10:42:16,QFA25,-33.957203,151.178741,300,162,167
2024-11-01T10:42:24,QFA25,-33.963627,151.18045,675,157,167
2024-11-01T10:42:28,QFA25,-33.966934,151.18103,875,157,173
2024-11-01T10:42:32,QFA25,-33.969635,151.181122,1050,159,181
2024-11-01T10:42:36,QFA25,-33.972519,151.181015,1175,163,183
2024-11-01T10:42:40,QFA25,-33.975357,151.180847,1225,165,182
2024-11-01T10:42:44,QFA25,-33.978012,151.180725,1250,168,182
2024-11-01T10:42:48,QFA25,-33.981857,151.180511,1300,172,182
2024-11-01T10:42:52,QFA25,-33.984879,151.180344,1350,175,182
2024-11-01T10:42:54,QFA25,-33.987278,151.180176,1375,178,182
2024-11-01T10:42:57,QFA25,-33.989231,151.180054,1400,180,183
2024-11-01T10:43:03,QFA25,-33.994492,151.179718,1450,187,183
2024-11-01T10:43:10,QFA25,-34.000305,151.179214,1500,194,184
2024-11-01T10:43:18,QFA25,-34.008133,151.178482,1550,208,184
2024-11-01T10:43:26,QFA25,-34.016232,151.177658,1650,216,185
2024-11-01T10:43:34,QFA25,-34.024429,151.176971,1750,228,181
2024-11-01T10:43:38,QFA25,-34.027779,151.177078,1800,231,177
2024-11-01T10:43:42,QFA25,-34.032578,151.177765,1850,236,171
2024-11-01T10:43:46,QFA25,-34.036835,151.178772,1950,240,168
2024-11-01T10:43:50,QFA25,-34.041183,151.179779,2075,242,168
2024-11-01T10:43:54,QFA25,-34.046211,151.180969,2250,242,168
