# column 0 is pixels, column 1 is signal
0.000000000000000000e+00,2.017291666666670835e+01
1.000000000000000000e+00,1.992777777777780912e+01
2.000000000000000000e+00,2.035069444444443576e+01
3.000000000000000000e+00,1.941250000000000497e+01
4.000000000000000000e+00,1.995798611111111853e+01
5.000000000000000000e+00,1.912951388888889070e+01
6.000000000000000000e+00,1.870555555555555571e+01
7.000000000000000000e+00,1.905381944444444642e+01
8.000000000000000000e+00,1.828888888888889852e+01
9.000000000000000000e+00,1.849826388888890349e+01
1.000000000000000000e+01,1.807604166666668277e+01
1.100000000000000000e+01,1.855208333333334636e+01
1.200000000000000000e+01,1.897986111111109864e+01
1.300000000000000000e+01,1.957638888888890349e+01
1.400000000000000000e+01,2.079270833333336199e+01
1.500000000000000000e+01,2.156770833333334991e+01
1.600000000000000000e+01,2.115138888888888147e+01
1.700000000000000000e+01,2.077256944444444287e+01
1.800000000000000000e+01,2.017638888888890136e+01
1.900000000000000000e+01,1.969826388888889923e+01
2.000000000000000000e+01,2.037638888888890065e+01
2.100000000000000000e+01,1.998854166666664867e+01
2.200000000000000000e+01,2.022569444444445352e+01
2.300000000000000000e+01,1.973159722222222356e+01
2.400000000000000000e+01,1.907048611111111924e+01
2.500000000000000000e+01,1.830347222222222214e+01
2.600000000000000000e+01,1.812256944444444784e+01
2.700000000000000000e+01,1.869722222222221220e+01
2.800000000000000000e+01,1.795937500000000853e+01
2.900000000000000000e+01,1.848958333333332504e+01
3.000000000000000000e+01,1.891770833333333712e+01
3.100000000000000000e+01,1.863645833333331936e+01
3.200000000000000000e+01,1.883263888888889426e+01
3.300000000000000000e+01,1.839305555555555927e+01
3.400000000000000000e+01,1.837222222222222001e+01
3.500000000000000000e+01,1.882638888888888928e+01
3.600000000000000000e+01,1.917048611111110645e+01
3.700000000000000000e+01,1.981041666666667567e+01
3.800000000000000000e+01,2.051666666666665861e+01
3.900000000000000000e+01,2.030902777777776791e+01
4.000000000000000000e+01,2.006041666666668988e+01
4.100000000000000000e+01,1.960798611111111001e+01
4.200000000000000000e+01,2.023020833333332291e+01
4.300000000000000000e+01,2.025868055555553227e+01
4.400000000000000000e+01,2.007777777777778994e+01
4.500000000000000000e+01,2.073888888888888360e+01
4.600000000000000000e+01,2.006562500000001492e+01
4.700000000000000000e+01,1.974444444444442581e+01
4.800000000000000000e+01,2.003124999999999645e+01
4.900000000000000000e+01,2.034340277777776507e+01
5.000000000000000000e+01,2.055555555555553227e+01
5.100000000000000000e+01,2.013090277777775228e+01
5.200000000000000000e+01,2.065347222222219514e+01
5.300000000000000000e+01,2.093819444444443079e+01
5.400000000000000000e+01,2.144930555555555785e+01
5.500000000000000000e+01,2.080972222222219870e+01
5.600000000000000000e+01,1.995069444444445494e+01
5.700000000000000000e+01,2.016944444444444429e+01
5.800000000000000000e+01,1.940451388888887863e+01
5.900000000000000000e+01,1.942916666666666003e+01
6.000000000000000000e+01,1.907569444444446560e+01
6.100000000000000000e+01,1.874722222222222001e+01
6.200000000000000000e+01,1.921180555555558556e+01
6.300000000000000000e+01,1.870034722222221646e+01
6.400000000000000000e+01,2.007291666666666430e+01
6.500000000000000000e+01,1.961215277777777288e+01
6.600000000000000000e+01,2.038645833333331936e+01
6.700000000000000000e+01,1.985937499999998224e+01
6.800000000000000000e+01,1.900173611111113203e+01
6.900000000000000000e+01,1.906805555555556353e+01
7.000000000000000000e+01,1.927708333333334423e+01
7.100000000000000000e+01,1.920659722222223920e+01
7.200000000000000000e+01,1.936041666666665506e+01
7.300000000000000000e+01,1.921701388888887152e+01
7.400000000000000000e+01,1.898888888888891202e+01
7.500000000000000000e+01,1.977291666666666359e+01
7.600000000000000000e+01,1.986319444444443505e+01
7.700000000000000000e+01,2.021076388888888786e+01
7.800000000000000000e+01,2.143888888888887223e+01
7.900000000000000000e+01,2.124097222222219727e+01
8.000000000000000000e+01,2.057916666666666927e+01
8.100000000000000000e+01,2.034305555555556211e+01
8.200000000000000000e+01,1.901840277777778354e+01
8.300000000000000000e+01,1.879583333333330586e+01
8.400000000000000000e+01,1.921041666666667780e+01
8.500000000000000000e+01,1.929270833333332646e+01
8.600000000000000000e+01,1.923437499999999289e+01
8.700000000000000000e+01,1.951770833333334210e+01
8.800000000000000000e+01,1.851770833333334920e+01
8.900000000000000000e+01,1.848611111111112137e+01
9.000000000000000000e+01,1.890833333333336341e+01
9.100000000000000000e+01,1.883194444444445281e+01
9.200000000000000000e+01,1.915347222222222001e+01
9.300000000000000000e+01,1.925833333333333997e+01
9.400000000000000000e+01,1.998125000000000284e+01
9.500000000000000000e+01,1.980347222222222570e+01
9.600000000000000000e+01,2.017534722222222499e+01
9.700000000000000000e+01,2.014791666666666714e+01
9.800000000000000000e+01,2.065659722222224914e+01
9.900000000000000000e+01,2.012256944444446560e+01
1.000000000000000000e+02,1.996076388888889497e+01
1.010000000000000000e+02,1.979861111111110361e+01
1.020000000000000000e+02,1.856493055555556992e+01
1.030000000000000000e+02,1.874652777777779633e+01
1.040000000000000000e+02,1.810937500000001776e+01
1.050000000000000000e+02,1.841388888888889852e+01
1.060000000000000000e+02,1.955902777777781054e+01
1.070000000000000000e+02,1.932187500000001634e+01
1.080000000000000000e+02,1.950208333333335986e+01
1.090000000000000000e+02,1.916319444444444642e+01
1.100000000000000000e+02,1.900625000000001563e+01
1.110000000000000000e+02,1.937708333333335275e+01
1.120000000000000000e+02,1.967500000000001137e+01
1.130000000000000000e+02,1.941597222222221930e+01
1.140000000000000000e+02,1.892951388888890207e+01
1.150000000000000000e+02,1.831180555555556921e+01
1.160000000000000000e+02,1.931180555555557277e+01
1.170000000000000000e+02,1.956458333333333499e+01
1.180000000000000000e+02,2.052881944444443718e+01
1.190000000000000000e+02,2.028159722222223849e+01
1.200000000000000000e+02,1.971006944444446063e+01
1.210000000000000000e+02,1.977430555555555713e+01
1.220000000000000000e+02,1.936631944444441444e+01
1.230000000000000000e+02,1.944062499999997229e+01
1.240000000000000000e+02,2.019027777777776933e+01
1.250000000000000000e+02,1.993055555555554292e+01
1.260000000000000000e+02,1.975312499999999716e+01
1.270000000000000000e+02,1.928680555555557063e+01
1.280000000000000000e+02,1.909375000000003553e+01
1.290000000000000000e+02,1.922916666666669627e+01
1.300000000000000000e+02,1.959583333333334565e+01
1.310000000000000000e+02,1.983437499999999787e+01
1.320000000000000000e+02,2.017326388888890776e+01
1.330000000000000000e+02,1.960173611111111569e+01
1.340000000000000000e+02,2.027152777777778070e+01
1.350000000000000000e+02,1.918611111111112422e+01
1.360000000000000000e+02,1.928368055555556282e+01
1.370000000000000000e+02,1.990173611111111995e+01
1.380000000000000000e+02,2.068159722222222641e+01
1.390000000000000000e+02,2.029201388888889213e+01
1.400000000000000000e+02,2.105902777777777857e+01
1.410000000000000000e+02,1.984131944444444073e+01
1.420000000000000000e+02,1.990243055555556850e+01
1.430000000000000000e+02,1.985937500000000711e+01
1.440000000000000000e+02,1.998229166666667567e+01
1.450000000000000000e+02,1.925729166666666003e+01
1.460000000000000000e+02,1.885868055555555856e+01
1.470000000000000000e+02,1.848020833333333357e+01
1.480000000000000000e+02,1.814756944444444287e+01
1.490000000000000000e+02,1.806944444444445352e+01
1.500000000000000000e+02,1.870763888888890136e+01
1.510000000000000000e+02,1.883923611111112351e+01
1.520000000000000000e+02,1.940694444444443434e+01
1.530000000000000000e+02,1.964097222222218520e+01
1.540000000000000000e+02,1.872777777777776720e+01
1.550000000000000000e+02,1.884895833333332504e+01
1.560000000000000000e+02,1.886388888888889070e+01
1.570000000000000000e+02,1.913055555555557063e+01
1.580000000000000000e+02,1.844409722222223280e+01
1.590000000000000000e+02,1.842395833333333854e+01
1.600000000000000000e+02,1.914687500000000497e+01
1.610000000000000000e+02,1.966909722222221291e+01
1.620000000000000000e+02,2.152430555555553227e+01
1.630000000000000000e+02,2.091354166666665293e+01
1.640000000000000000e+02,2.116909722222222001e+01
1.650000000000000000e+02,2.009131944444443718e+01
1.660000000000000000e+02,1.889201388888890776e+01
1.670000000000000000e+02,1.913993055555556921e+01
1.680000000000000000e+02,1.845555555555556282e+01
1.690000000000000000e+02,1.930208333333332504e+01
1.700000000000000000e+02,1.913263888888889142e+01
1.710000000000000000e+02,1.904687500000002487e+01
1.720000000000000000e+02,1.976180555555554008e+01
1.730000000000000000e+02,1.969236111111109722e+01
1.740000000000000000e+02,2.020625000000000782e+01
1.750000000000000000e+02,1.992569444444444926e+01
1.760000000000000000e+02,1.948437500000003553e+01
1.770000000000000000e+02,1.890798611111113559e+01
1.780000000000000000e+02,1.891354166666667069e+01
1.790000000000000000e+02,1.918958333333333854e+01
1.800000000000000000e+02,1.952881944444442652e+01
1.810000000000000000e+02,1.975763888888888431e+01
1.820000000000000000e+02,1.993263888888887081e+01
1.830000000000000000e+02,1.971597222222220580e+01
1.840000000000000000e+02,2.064236111111112137e+01
1.850000000000000000e+02,2.069687500000001990e+01
1.860000000000000000e+02,2.099201388888889142e+01
1.870000000000000000e+02,2.022673611111112280e+01
1.880000000000000000e+02,2.004375000000002061e+01
1.890000000000000000e+02,2.007048611111110858e+01
1.900000000000000000e+02,2.036354166666668419e+01
1.910000000000000000e+02,2.049722222222223067e+01
1.920000000000000000e+02,2.088506944444442581e+01
1.930000000000000000e+02,2.080138888888888360e+01
1.940000000000000000e+02,2.061701388888891628e+01
1.950000000000000000e+02,2.005902777777778567e+01
1.960000000000000000e+02,1.898055555555556850e+01
1.970000000000000000e+02,1.911215277777778709e+01
1.980000000000000000e+02,1.986805555555557490e+01
1.990000000000000000e+02,2.014999999999998792e+01
2.000000000000000000e+02,2.077187500000000142e+01
2.010000000000000000e+02,2.017986111111108372e+01
2.020000000000000000e+02,1.964548611111112209e+01
2.030000000000000000e+02,1.957986111111112848e+01
2.040000000000000000e+02,2.035208333333331865e+01
2.050000000000000000e+02,2.000451388888886939e+01
2.060000000000000000e+02,2.054340277777777857e+01
2.070000000000000000e+02,2.055069444444444571e+01
2.080000000000000000e+02,2.086736111111110858e+01
2.090000000000000000e+02,2.084270833333333783e+01
2.100000000000000000e+02,2.097048611111111072e+01
2.110000000000000000e+02,2.131006944444444784e+01
2.120000000000000000e+02,2.119270833333335702e+01
2.130000000000000000e+02,2.098784722222226051e+01
2.140000000000000000e+02,2.088090277777777359e+01
2.150000000000000000e+02,2.018472222222222712e+01
2.160000000000000000e+02,2.019895833333333712e+01
2.170000000000000000e+02,1.985729166666667567e+01
2.180000000000000000e+02,2.047916666666667140e+01
2.190000000000000000e+02,2.048437499999999645e+01
2.200000000000000000e+02,2.051284722222222001e+01
2.210000000000000000e+02,2.029374999999998863e+01
2.220000000000000000e+02,2.001076388888887791e+01
2.230000000000000000e+02,2.019652777777776365e+01
2.240000000000000000e+02,1.988541666666663943e+01
2.250000000000000000e+02,2.003090277777777928e+01
2.260000000000000000e+02,1.976944444444445637e+01
2.270000000000000000e+02,2.001979166666665577e+01
2.280000000000000000e+02,1.983506944444443931e+01
2.290000000000000000e+02,1.922465277777776294e+01
2.300000000000000000e+02,1.871874999999998579e+01
2.310000000000000000e+02,1.800381944444442439e+01
2.320000000000000000e+02,1.802569444444444713e+01
2.330000000000000000e+02,1.833993055555552232e+01
2.340000000000000000e+02,1.823194444444446205e+01
2.350000000000000000e+02,1.857812500000001421e+01
2.360000000000000000e+02,1.832743055555557987e+01
2.370000000000000000e+02,1.825034722222222783e+01
2.380000000000000000e+02,1.806562500000000071e+01
2.390000000000000000e+02,1.802083333333332504e+01
2.400000000000000000e+02,1.800659722222225056e+01
2.410000000000000000e+02,1.764062500000001776e+01
2.420000000000000000e+02,1.820486111111112493e+01
2.430000000000000000e+02,1.787430555555556566e+01
2.440000000000000000e+02,1.848750000000002558e+01
2.450000000000000000e+02,1.827430555555558556e+01
2.460000000000000000e+02,1.881875000000000497e+01
2.470000000000000000e+02,1.840173611111110930e+01
2.480000000000000000e+02,1.824513888888888857e+01
2.490000000000000000e+02,1.803124999999999645e+01
2.500000000000000000e+02,1.769652777777778496e+01
2.510000000000000000e+02,1.771909722222221717e+01
2.520000000000000000e+02,1.855451388888891273e+01
2.530000000000000000e+02,1.852673611111112706e+01
2.540000000000000000e+02,1.906770833333333925e+01
2.550000000000000000e+02,1.881319444444445210e+01
2.560000000000000000e+02,1.845833333333336768e+01
2.570000000000000000e+02,1.879062500000002345e+01
