# column 0 is pixels, column 1 is signal
0.000000000000000000e+00,2.329826388888887934e+01
1.000000000000000000e+00,2.196006944444441800e+01
2.000000000000000000e+00,2.257951388888887223e+01
3.000000000000000000e+00,2.132777777777777928e+01
4.000000000000000000e+00,2.221770833333332362e+01
5.000000000000000000e+00,2.101458333333335560e+01
6.000000000000000000e+00,2.083229166666665932e+01
7.000000000000000000e+00,2.022118055555553440e+01
8.000000000000000000e+00,2.041319444444442155e+01
9.000000000000000000e+00,2.001562499999998579e+01
1.000000000000000000e+01,2.086840277777779562e+01
1.100000000000000000e+01,2.010138888888885944e+01
1.200000000000000000e+01,2.169861111111112351e+01
1.300000000000000000e+01,2.167361111111112137e+01
1.400000000000000000e+01,2.295763888888888005e+01
1.500000000000000000e+01,2.337222222222222356e+01
1.600000000000000000e+01,2.313645833333333357e+01
1.700000000000000000e+01,2.268194444444441871e+01
1.800000000000000000e+01,2.251527777777776507e+01
1.900000000000000000e+01,2.173541666666668704e+01
2.000000000000000000e+01,2.296111111111109437e+01
2.100000000000000000e+01,2.174166666666666714e+01
2.200000000000000000e+01,2.307465277777776080e+01
2.300000000000000000e+01,2.181458333333334920e+01
2.400000000000000000e+01,2.247395833333335702e+01
2.500000000000000000e+01,2.110312500000002700e+01
2.600000000000000000e+01,2.135381944444446134e+01
2.700000000000000000e+01,2.152326388888888431e+01
2.800000000000000000e+01,2.133229166666667709e+01
2.900000000000000000e+01,2.054513888888888928e+01
3.000000000000000000e+01,2.095868055555554577e+01
3.100000000000000000e+01,2.009791666666666643e+01
3.200000000000000000e+01,2.045520833333333854e+01
3.300000000000000000e+01,2.017395833333332433e+01
3.400000000000000000e+01,2.097777777777778141e+01
3.500000000000000000e+01,2.069618055555555003e+01
3.600000000000000000e+01,2.270590277777778354e+01
3.700000000000000000e+01,2.227152777777781267e+01
3.800000000000000000e+01,2.315104166666665009e+01
3.900000000000000000e+01,2.236180555555552729e+01
4.000000000000000000e+01,2.208159722222222499e+01
4.100000000000000000e+01,2.130902777777777501e+01
4.200000000000000000e+01,2.278090277777771888e+01
4.300000000000000000e+01,2.228784722222219017e+01
4.400000000000000000e+01,2.322395833333332149e+01
4.500000000000000000e+01,2.309861111111111143e+01
4.600000000000000000e+01,2.302916666666667211e+01
4.700000000000000000e+01,2.207916666666666572e+01
4.800000000000000000e+01,2.294652777777778496e+01
4.900000000000000000e+01,2.254618055555556566e+01
5.000000000000000000e+01,2.284722222222222143e+01
5.100000000000000000e+01,2.179548611111109579e+01
5.200000000000000000e+01,2.254166666666667496e+01
5.300000000000000000e+01,2.228923611111107306e+01
